Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
568,22.78966,3500.78941,1.04088,42.52123,36253.15453,19.48162,1.52101,1.4798,1.52513,-3.0665578613,-1.5247926876,4.3519458711,2.6746539559
569,0,2424.97865,0.98783,70.11956,34833.47566,18.7441,0.81968,1.4583,1.30666,0.1015900596,0.0693124323,0.1015900596,0.0693124323
570,12.65613,2424.97865,0.98783,70.11956,34833.47566,18.7441,0.81968,1.4583,1.30666,-1.1254009422,-0.4694496674,1.4622416416,0.9814375697
571,17.51808,2424.97865,0.98783,70.11956,34833.47566,18.7441,0.81968,1.4583,1.30666,-1.6355801121,-0.7440547509,2.0123929445,1.2632337147
572,24.99045,2424.97865,0.98783,70.11956,34833.47566,18.7441,0.81968,1.4583,1.30666,-2.1799217341,-1.1645812567,2.9521846606,1.7006280777
573,0,2534.3591,0.98788,81.23781,34131.8538,19.32626,1.12784,1.85538,1.42065,0.1404650308,0.1049529088,0.1404650308,0.1049529088
574,13.43848,2534.3591,0.98788,81.23781,34131.8538,19.32626,1.12784,1.85538,1.42065,-1.4147133778,-0.4878309427,1.3883436688,1.2164495642
575,19.33047,2534.3591,0.98788,81.23781,34131.8538,19.32626,1.12784,1.85538,1.42065,-2.0305367645,-0.8779511507,2.1303270354,1.5883944462
576,22.30146,2534.3591,0.98788,81.23781,34131.8538,19.32626,1.12784,1.85538,1.42065,-2.3724492401,-1.056231083,2.4566758893,1.783017873
577,0,3377.99104,0.94754,82.46691,31264.20067,19.0225,1.29042,1.84504,1.20827,0.1625477237,0.1261522172,0.1625477237,0.1261522172
578,14.80785,3377.99104,0.94754,82.46691,31264.20067,19.0225,1.29042,1.84504,1.20827,-1.9081000205,-0.7996254666,1.9811433807,1.8371698342
579,18.88594,3377.99104,0.94754,82.46691,31264.20067,19.0225,1.29042,1.84504,1.20827,-2.469591393,-1.1538959496,2.701417967,2.172459786
580,23.69488,3377.99104,0.94754,82.46691,31264.20067,19.0225,1.29042,1.84504,1.20827,-2.9258553761,-1.5726630091,3.6990203343,2.5615739788
581,0,3803.79255,0.90257,37.0097,30779.695,20.67413,1.26921,1.94985,1.08681,0.1652584796,0.1294619666,0.1652584796,0.1294619666
582,12.38459,3803.79255,0.90257,37.0097,30779.695,20.67413,1.26921,1.94985,1.08681,-1.8891984952,-0.7314549575,2.5897727883,1.7282121678
583,18.13867,3803.79255,0.90257,37.0097,30779.695,20.67413,1.26921,1.94985,1.08681,-2.8671700213,-1.3010990176,3.7129879408,2.3078548424
584,24.16414,3803.79255,0.90257,37.0097,30779.695,20.67413,1.26921,1.94985,1.08681,-3.5793272894,-1.9280283486,5.0238516879,2.9024584018
585,0,4769.94228,1.06566,104.22969,35377.49782,22.02896,1.5216,1.81005,1.35071,0.3036189563,0.2410733055,0.3036189563,0.2410733048
