Sample,ecc,N,gammaG,Esoil,Econc,Dbot,H1,H2,H3,Mr_t,Mt_t,Mr_c,Mt_c
48,26,5000,0.9,75,37000,17,0.8,1,0.8,-2.8827769821,-2.1890824724,9.0212119431,3.255681951
49,0,5000,1.1,25,30000,17,0.8,1,0.8,0.0342945722,0.021557888,0.0342945722,0.021557888
50,10,5000,1.1,25,30000,17,0.8,1,0.8,-1.2101503722,-0.5769126192,2.8952743741,1.5310116588
51,18,5000,1.1,25,30000,17,0.8,1,0.8,-2.1264452725,-1.3476042127,5.4061673647,2.4452278292
52,26,5000,1.1,25,30000,17,0.8,1,0.8,-3.1308120116,-2.1288878431,8.1930433533,3.3746687846
53,0,5000,1.1,25,37000,17,0.8,1,0.8,0.0244144575,0.0140799234,0.0244144575,0.0140799234
54,10,5000,1.1,25,37000,17,0.8,1,0.8,-1.223241944,-0.571496944,2.8739793364,1.5537952639
55,18,5000,1.1,25,37000,17,0.8,1,0.8,-2.1203552346,-1.3456832585,5.4235323095,2.4602723739
56,26,5000,1.1,25,37000,17,0.8,1,0.8,-3.1248254295,-2.1279860818,8.2142621639,3.3830412248
57,0,5000,1.1,75,30000,17,0.8,1,0.8,0.0323432268,0.0203015429,0.0323432268,0.0203015429
58,10,5000,1.1,75,30000,17,0.8,1,0.8,-1.1885870717,-0.5884786854,2.6462664398,1.4629576412
59,18,5000,1.1,75,30000,17,0.8,1,0.8,-1.931718576,-1.3531134395,5.5871782116,2.3861662007
60,26,5000,1.1,75,30000,17,0.8,1,0.8,-2.8463366361,-2.1305181128,8.8450024753,3.3179693437
61,0,5000,1.1,75,37000,17,0.8,1,0.8,0.0324030477,0.0203413039,0.0324030477,0.0203413039
62,10,5000,1.1,75,37000,17,0.8,1,0.8,-1.1881276642,-0.5872641047,2.6544833689,1.4684943292
63,18,5000,1.1,75,37000,17,0.8,1,0.8,-1.9207529304,-1.3515339662,5.6217747609,2.3940757524
64,26,5000,1.1,75,37000,17,0.8,1,0.8,-2.8287471634,-2.1293933775,8.9068343278,3.3252442664
65,0,2000,0.9,25,30000,17,0.8,1,1.2,0.1095202815,0.0680900062,0.1095202815,0.0680900062
66,10,2000,0.9,25,30000,17,0.8,1,1.2,-0.6671471809,-0.2496106421,1.0615800373,0.5910305004
67,18,2000,0.9,25,30000,17,0.8,1,1.2,-1.143701037,-0.5709335862,1.8294135427,0.9420712917
68,26,2000,0.9,25,30000,17,0.8,1,1.2,-1.4524861718,-0.851523726,2.7507482671,1.3182717353
69,0,2000,0.9,25,37000,17,0.8,1,1.2,0.1105566937,0.0689065096,0.1105566937,0.0689065096
70,10,2000,0.9,25,37000,17,0.8,1,1.2,-0.6681168915,-0.2493362198,1.0605263577,0.5919367086
71,18,2000,0.9,25,37000,17,0.8,1,1.2,-1.1431055081,-0.5716811166,1.832400271,0.9437376958
72,26,2000,0.9,25,37000,17,0.8,1,1.2,-1.4508465694,-0.8513887496,2.7569701921,1.3204910823
73,0,2000,0.9,75,30000,17,0.8,1,1.2,0.0598426295,0.0373913111,0.0598426295,0.0373913111
74,10,2000,0.9,75,30000,17,0.8,1,1.2,-0.6632063992,-0.2604742349,0.8563709381,0.5880178301
75,18,2000,0.9,75,30000,17,0.8,1,1.2,-1.2022474671,-0.5788295597,1.5889939946,0.9232907698
76,26,2000,0.9,75,30000,17,0.8,1,1.2,-1.3834442301,-0.846833412,2.6166850302,1.3008237622
77,0,2000,0.9,75,37000,17,0.8,1,1.2,0.0599821835,0.0374799995,0.0599821835,0.0374799995
78,10,2000,0.9,75,37000,17,0.8,1,1.2,-0.5924800262,-0.249052878,1.0162086715,0.6209566376
79,18,2000,0.9,75,37000,17,0.8,1,1.2,-1.1475214074,-0.5689550367,1.7363423295,0.9557401633
80,26,2000,0.9,75,37000,17,0.8,1,1.2,-1.3588715798,-0.8431106589,2.7062089231,1.3246381724
81,0,2000,1.1,25,30000,17,0.8,1,1.2,0.0402488163,0.0238241613,0.0402488163,0.0238241613
82,10,2000,1.1,25,30000,17,0.8,1,1.2,-0.5665992825,-0.2425177746,0.971897902,0.5832938661
83,18,2000,1.1,25,30000,17,0.8,1,1.2,-1.1897778594,-0.5720938204,1.704595324,0.9305654219
